"Date","Price","Open","High","Low","Vol.","Change %"
"16/03/2024","2.4286","2.6816","2.6873","2.2837","64.89M","-9.43%"
"15/03/2024","2.6816","2.8521","2.8683","2.3596","96.18M","-5.92%"
"14/03/2024","2.8503","2.6553","2.9961","2.5426","85.78M","7.34%"
"13/03/2024","2.6553","2.6735","2.8518","2.5906","49.39M","-0.68%"
"12/03/2024","2.6735","2.7005","2.8134","2.5410","59.68M","-1.00%"
"11/03/2024","2.7005","2.7686","2.9529","2.6536","59.46M","-2.46%"
"10/03/2024","2.7686","3.0798","3.1218","2.6709","59.43M","-10.10%"
"09/03/2024","3.0798","2.7458","3.1076","2.6969","84.91M","12.16%"
"08/03/2024","2.7458","2.5779","2.9487","2.4595","106.14M","6.42%"
"07/03/2024","2.5801","2.4209","2.8487","2.4093","140.09M","6.58%"
"06/03/2024","2.4209","1.7356","2.4660","1.6969","164.73M","39.48%"
"05/03/2024","1.7357","1.7251","1.9367","1.3584","114.98M","0.62%"
"04/03/2024","1.7251","1.7721","1.9133","1.6981","76.53M","-2.65%"
"03/03/2024","1.7721","1.8004","1.9436","1.6500","73.70M","-1.57%"
"02/03/2024","1.8004","1.7238","1.9382","1.5742","91.25M","4.45%"
"01/03/2024","1.7238","1.4658","1.8309","1.4658","123.82M","17.60%"
"29/02/2024","1.4657","1.3526","1.5148","1.2864","90.43M","8.37%"
"28/02/2024","1.3525","1.0755","1.3809","1.0681","130.95M","25.76%"
"27/02/2024","1.0755","1.1153","1.1216","1.0576","41.51M","-3.57%"
"26/02/2024","1.1153","1.1035","1.1492","1.0520","56.92M","1.07%"
"25/02/2024","1.1035","1.0786","1.1394","1.0743","51.55M","2.31%"
"24/02/2024","1.0786","1.0576","1.0958","0.9806","60.83M","1.98%"
"23/02/2024","1.0576","1.1066","1.2325","1.0347","101.24M","-4.43%"
"22/02/2024","1.1066","1.1441","1.2055","1.0340","113.05M","-3.28%"
"21/02/2024","1.1441","1.0554","1.1598","0.9447","102.74M","8.40%"
"20/02/2024","1.0554","0.9775","1.0953","0.8736","126.56M","7.97%"
"19/02/2024","0.9775","0.8234","0.9947","0.8234","99.04M","18.72%"
"18/02/2024","0.8234","0.7890","0.8741","0.7818","88.58M","4.37%"
"17/02/2024","0.7889","0.7073","0.7889","0.6875","68.99M","11.55%"
"16/02/2024","0.7073","0.6532","0.7314","0.6484","73.86M","8.28%"
